timestamp,assembly,sensor,value
2005-09-22T10:25:00+00:00,GasTurbine2103/01,TC255,61.9
2005-09-22T10:25:00+00:00,GasTurbine2103/01,TC256,57.4
2005-09-22T10:25:00+00:00,GasTurbine2103/01,TC257,67.699
2005-09-22T10:25:00+00:00,GasTurbine2103/01,TC258,65.699
2005-09-22T10:25:00+00:00,GasTurbine2103/01,TC259,65.3
2005-09-22T10:25:00+00:00,GasTurbine2103/01,TC260,56.099
2005-09-22T10:25:01+00:00,GasTurbine2103/01,TC255,61.9
2005-09-22T10:25:01+00:00,GasTurbine2103/01,TC256,56.5
2005-09-22T10:25:01+00:00,GasTurbine2103/01,TC257,66.5
2005-09-22T10:25:01+00:00,GasTurbine2103/01,TC258,64.599
2005-09-22T10:25:01+00:00,GasTurbine2103/01,TC259,64
2005-09-22T10:25:01+00:00,GasTurbine2103/01,TC260,55.9
2005-09-22T10:25:02+00:00,GasTurbine2103/01,TC255,61.799
2005-09-22T10:25:02+00:00,GasTurbine2103/01,TC256,55.4
2005-09-22T10:25:02+00:00,GasTurbine2103/01,TC257,65.3
2005-09-22T10:25:02+00:00,GasTurbine2103/01,TC258,63.5
2005-09-22T10:25:02+00:00,GasTurbine2103/01,TC259,62.9
2005-09-22T10:25:02+00:00,GasTurbine2103/01,TC260,55.799
2005-09-22T10:25:03+00:00,GasTurbine2103/01,TC255,61.7
2005-09-22T10:25:03+00:00,GasTurbine2103/01,TC256,54.599
2005-09-22T10:25:03+00:00,GasTurbine2103/01,TC257,64.3
2005-09-22T10:25:03+00:00,GasTurbine2103/01,TC258,62.5
2005-09-22T10:25:03+00:00,GasTurbine2103/01,TC259,61.9
2005-09-22T10:25:03+00:00,GasTurbine2103/01,TC260,55.799
2005-09-22T10:25:04+00:00,GasTurbine2103/01,TC255,66.099
2005-09-22T10:25:04+00:00,GasTurbine2103/01,TC256,53.799
2005-09-22T10:25:04+00:00,GasTurbine2103/01,TC257,63.299
2005-09-22T10:25:04+00:00,GasTurbine2103/01,TC258,61.599
2005-09-22T10:25:04+00:00,GasTurbine2103/01,TC259,60.9
2005-09-22T10:25:04+00:00,GasTurbine2103/01,TC260,55.9
2005-09-22T10:25:05+00:00,GasTurbine2103/01,TC255,65.3
2005-09-22T10:25:05+00:00,GasTurbine2103/01,TC256,53
2005-09-22T10:25:05+00:00,GasTurbine2103/01,TC257,62.299
2005-09-22T10:25:05+00:00,GasTurbine2103/01,TC258,60.7
2005-09-22T10:25:05+00:00,GasTurbine2103/01,TC259,60
2005-09-22T10:25:05+00:00,GasTurbine2103/01,TC260,55.7
2005-09-22T10:25:06+00:00,GasTurbine2103/01,TC255,64.5
2005-09-22T10:25:06+00:00,GasTurbine2103/01,TC256,52.4
2005-09-22T10:25:06+00:00,GasTurbine2103/01,TC257,61.4
2005-09-22T10:25:06+00:00,GasTurbine2103/01,TC258,59.799
2005-09-22T10:25:06+00:00,GasTurbine2103/01,TC259,59.099
2005-09-22T10:25:06+00:00,GasTurbine2103/01,TC260,55.799
2005-09-22T10:25:07+00:00,GasTurbine2103/01,TC255,61.7
2005-09-22T10:25:07+00:00,GasTurbine2103/01,TC256,51.799
2005-09-22T10:25:07+00:00,GasTurbine2103/01,TC257,60.7
2005-09-22T10:25:07+00:00,GasTurbine2103/01,TC258,59.099
2005-09-22T10:25:07+00:00,GasTurbine2103/01,TC259,58.2
2005-09-22T10:25:07+00:00,GasTurbine2103/01,TC260,55.7
2005-09-22T10:25:08+00:00,GasTurbine2103/01,TC255,61.599
2005-09-22T10:25:08+00:00,GasTurbine2103/01,TC256,51.2
2005-09-22T10:25:08+00:00,GasTurbine2103/01,TC257,59.9
2005-09-22T10:25:08+00:00,GasTurbine2103/01,TC258,58.2
2005-09-22T10:25:08+00:00,GasTurbine2103/01,TC259,57.4
